,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
0,alternating lunge jumps with both arms swinging,List A,613,17,10.43%,41.18%,82.35%,0,-0.29,96.19%,181,87.21%,1.66%,0.00,0.73%
1,alternating lunge jumps with runner arms,List A,612,15,23.13%,26.67%,40.00%,0,-3.33,97.22%,204,9.40%,-1.30%,0.00,-0.12%
2,bent over row kneeling alternating with resting arm down,MVP,620,6,12.40%,50.00%,50.00%,0,-1.00,96.14%,95,66.76%,0.42%,0.00,-0.49%
3,bent over row kneeling both arms,MVP,618,7,3.92%,57.14%,100.00%,1,-0.14,99.84%,86,88.38%,0.00%,0.00,0.00%
4,bent over row standing alternating with resting arm down,MVP,614,8,12.47%,37.50%,62.50%,0,-1.88,98.62%,108,59.71%,1.33%,0.00,-0.22%
5,bent over row standing alternating with resting arm up,List A,615,4,9.72%,50.00%,50.00%,1,-1.50,97.83%,60,77.48%,0.00%,0.00,-0.65%
6,bent over row standing both arms,MVP,616,9,0.00%,100.00%,100.00%,1,0.00,99.45%,90,95.42%,0.00%,0.00,0.02%
7,bent over row standing single arm,MVP,619,6,17.27%,16.67%,33.33%,0,-3.17,85.98%,112,59.29%,-2.50%,0.00,-0.32%
8,bicep curl balancing left alternating with resting arm down,MVP,629,7,4.29%,85.71%,85.71%,1,-0.43,88.72%,72,96.24%,0.54%,-1.00,-0.50%
9,bicep curl balancing left single arm,MVP,637,6,6.56%,33.33%,83.33%,1,-0.67,96.20%,148,94.98%,0.52%,0.00,0.41%
10,bicep curl balancing right both arms,MVP,632,9,1.11%,88.89%,100.00%,1,0.11,97.27%,92,98.96%,0.00%,0.00,0.04%
11,bicep curl kneeling alternating with resting arm down,MVP,643,10,2.43%,80.00%,90.00%,1,0.30,95.36%,110,93.21%,1.00%,0.00,-0.66%
12,bicep curl kneeling with both arms,MVP,645,12,0.83%,91.67%,100.00%,1,0.08,95.98%,111,97.28%,0.00%,0.00,-0.04%
13,bicep curl kneeling with single arm,MVP,647,7,11.56%,57.14%,57.14%,0,-1.14,99.03%,136,87.93%,-0.34%,0.00,-0.08%
14,bicep curl kneeling with single arm with resting arm half up,List A,648,7,11.36%,42.86%,57.14%,0,-1.43,100.00%,144,94.07%,0.00%,0.00,0.03%
15,bicep curl standing alternating with resting arm down,MVP,657,9,9.71%,55.56%,77.78%,1,-0.33,95.49%,99,97.06%,0.00%,0.00,0.50%
16,bicep curl standing alternating with resting arm up,List A,652,9,10.06%,0.00%,100.00%,0,0.56,99.63%,90,92.92%,0.12%,0.00,0.07%
17,bicep curl standing with both arms,MVP,653,20,1.46%,85.00%,100.00%,1,0.15,98.84%,195,92.64%,-0.45%,0.00,0.05%
18,bicep curl standing with single arm,MVP,655,11,1.34%,72.73%,100.00%,1,0.09,99.36%,203,94.48%,-0.48%,0.00,0.08%
19,bird dog opposite arm and leg knee to elbow,List A,1024,15,20.77%,6.67%,33.33%,0,0.73,97.71%,269,94.95%,-0.33%,0.00,0.01%
20,bird dog opposite arm and leg rep,List A,1025,7,0.71%,85.71%,100.00%,1,-0.14,96.98%,99,66.21%,0.00%,0.00,0.70%
21,bodyweight squat 1.5 squat,List A,572,12,30.05%,33.33%,50.00%,0,1.50,91.33%,125,96.97%,0.00%,0.00,-0.19%
22,bodyweight squat arms by side,MVP,575,6,3.31%,50.00%,100.00%,1,-0.17,89.80%,82,75.90%,-2.78%,0.00,-0.54%
23,bodyweight squat arms overhead,MVP,573,7,1.43%,85.71%,100.00%,1,0.14,99.19%,68,60.00%,-1.19%,0.00,0.00%
24,bodyweight squat arms straight out,MVP,574,4,0.00%,100.00%,100.00%,1,0.00,93.08%,38,41.73%,0.00%,0.00,-0.97%
25,bodyweight squat arms swinging,MVP,576,5,0.00%,100.00%,100.00%,1,0.00,93.27%,57,97.01%,0.00%,0.00,-0.19%
26,bodyweight squat hands at shoulders,MVP,329,19,1.96%,89.47%,94.74%,1,-0.21,96.00%,201,94.15%,-0.06%,0.00,0.04%
27,bodyweight squat hands centered,MVP,577,19,1.28%,89.47%,100.00%,1,0.11,92.37%,194,93.23%,0.00%,0.00,0.29%
28,bodyweight squat hands on head,MVP,578,13,2.31%,84.62%,92.31%,1,-0.23,97.83%,128,95.31%,0.00%,0.00,-0.02%
29,bodyweight sumo squat 1.5 squat,List A,1628,3,18.18%,66.67%,66.67%,0,2.00,97.78%,34,95.00%,3.03%,0.00,0.05%
30,bodyweight sumo squat arms overhead,MVP,1629,5,9.09%,80.00%,80.00%,1,-1.00,91.08%,51,84.05%,-2.00%,0.00,-1.48%
