,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v6c_v9dataset,n_sets delta w/ hydra_v6c_v9dataset,is_FA delta w/ hydra_v6c_v9dataset,signal_score delta w/ hydra_v6c_v9dataset
0,alternating lunge jumps with both arms swinging,List A,613,17,6.34%,64.71%,88.24%,1,-0.2352941,98.26%,181,87.45%,-0.20%,0.00,0.04%,-2.85%
1,alternating lunge jumps with runner arms,List A,612,15,9.74%,33.33%,73.33%,1,-0.2,97.38%,204,82.95%,-4.39%,0.00,0.00%,-9.50%
2,bent over row kneeling alternating with resting arm down,MVP,620,6,7.76%,50.00%,83.33%,1,-0.8333333,98.72%,95,67.83%,-10.71%,0.00,0.09%,3.93%
3,bent over row kneeling both arms,MVP,618,7,2.29%,71.43%,100.00%,1,0,99.92%,86,88.12%,-1.43%,0.00,-0.08%,-2.70%
4,bent over row standing alternating with resting arm down,MVP,614,8,7.46%,62.50%,75.00%,1,-1.25,99.54%,108,69.50%,-3.53%,0.00,-0.10%,1.25%
5,bent over row standing alternating with resting arm up,List A,615,4,17.44%,0.00%,25.00%,0,-2.75,99.89%,60,70.80%,-6.12%,0.00,-0.11%,-8.46%
6,bent over row standing both arms,MVP,616,9,0.00%,100.00%,100.00%,1,0,99.87%,90,91.24%,0.00%,0.00,0.00%,0.44%
7,bent over row standing single arm,MVP,619,6,12.95%,33.33%,50.00%,0,0.33333333,97.35%,112,37.98%,5.53%,0.00,0.77%,-9.52%
8,bicep curl balancing left alternating with resting arm down,MVP,629,8,1.25%,87.50%,100.00%,1,0.125,99.46%,82,96.06%,-1.39%,0.00,0.07%,-1.96%
9,bicep curl balancing left single arm,MVP,637,6,6.25%,50.00%,66.67%,1,-0.6666667,97.17%,148,92.93%,0.31%,0.00,-0.32%,-1.80%
10,bicep curl balancing right both arms,MVP,632,9,1.11%,88.89%,100.00%,1,0.11111111,98.91%,92,97.07%,0.00%,0.00,-0.10%,-0.96%
11,bicep curl kneeling alternating with resting arm down,MVP,643,10,3.53%,70.00%,90.00%,1,-0.2,94.05%,110,90.42%,-2.00%,0.00,0.48%,1.22%
12,bicep curl kneeling with both arms,MVP,645,11,0.91%,90.91%,100.00%,1,0.09090909,95.23%,100,96.75%,-0.68%,-1.00,0.21%,1.26%
13,bicep curl kneeling with single arm,MVP,647,6,3.17%,66.67%,83.33%,1,0.5,99.44%,115,90.33%,-7.71%,-1.00,0.28%,5.45%
14,bicep curl kneeling with single arm with resting arm half up,List A,648,7,10.71%,42.86%,71.43%,0,-2.1428571,98.40%,144,93.67%,1.43%,0.00,-0.05%,-0.31%
15,bicep curl standing alternating with resting arm down,MVP,657,9,5.64%,66.67%,88.89%,1,-0.2222222,98.08%,99,89.63%,-2.96%,0.00,-0.26%,-2.02%
16,bicep curl standing alternating with resting arm up,List A,652,9,13.46%,22.22%,77.78%,0,-0.2222222,99.79%,90,85.69%,2.22%,0.00,0.00%,0.28%
17,bicep curl standing with both arms,MVP,653,19,6.33%,84.21%,94.74%,1,-0.4736842,99.12%,188,92.73%,0.32%,-1.00,0.10%,-0.27%
18,bicep curl standing with single arm,MVP,655,10,1.48%,70.00%,100.00%,1,0.1,99.53%,183,96.11%,0.00%,0.00,-0.08%,0.98%
19,bird dog opposite arm and leg knee to elbow,List A,1024,14,20.11%,7.14%,50.00%,0,0.57142857,99.36%,249,90.09%,0.67%,-1.00,0.01%,-0.33%
