,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v5,n_sets delta w/ hydra_v5,is_FA delta w/ hydra_v5,signal_score delta w/ hydra_v5_variation
0,alternating lunge jumps with both arms swinging,List A,613,17,9.84%,47.06%,82.35%,1,-0.35,98.29%,181,87.20%,-0.59%,0,2.09%,0.00%
1,alternating lunge jumps with runner arms,List A,612,15,23.13%,26.67%,40.00%,0,-3.33,97.36%,204,9.32%,0.00%,0,0.14%,-0.08%
2,bent over row kneeling alternating with resting arm down,MVP,620,6,13.10%,50.00%,50.00%,0,-0.83,97.27%,95,66.61%,0.69%,0,1.13%,-0.14%
3,bent over row kneeling both arms,MVP,618,7,3.92%,57.14%,100.00%,1,-0.14,99.92%,86,88.38%,0.00%,0,0.08%,0.00%
4,bent over row standing alternating with resting arm down,MVP,614,8,9.69%,50.00%,75.00%,1,-1.63,99.62%,108,57.70%,-2.78%,0,1.00%,-2.02%
5,bent over row standing alternating with resting arm up,List A,615,4,9.72%,50.00%,50.00%,1,-1.50,100.00%,60,78.77%,0.00%,0,2.17%,1.29%
6,bent over row standing both arms,MVP,616,9,0.00%,100.00%,100.00%,1,0.00,99.81%,90,95.37%,0.00%,0,0.35%,-0.04%
7,bent over row standing single arm,MVP,619,6,18.11%,16.67%,16.67%,0,-3.00,90.91%,112,57.78%,0.83%,0,4.94%,-1.51%
8,bicep curl balancing left alternating with resting arm down,MVP,629,8,1.25%,87.50%,100.00%,1,0.13,97.96%,82,96.35%,-3.04%,1,9.24%,0.11%
9,bicep curl balancing left single arm,MVP,637,6,6.56%,33.33%,83.33%,1,-0.67,96.68%,148,94.95%,0.00%,0,0.48%,-0.03%
10,bicep curl balancing right both arms,MVP,632,9,1.11%,88.89%,100.00%,1,0.11,97.92%,92,98.93%,0.00%,0,0.66%,-0.04%
11,bicep curl kneeling alternating with resting arm down,MVP,643,10,2.43%,80.00%,90.00%,1,0.30,97.46%,110,93.16%,0.00%,0,2.10%,-0.05%
12,bicep curl kneeling with both arms,MVP,645,12,1.59%,83.33%,100.00%,1,0.17,98.03%,111,97.28%,0.76%,0,2.05%,0.00%
13,bicep curl kneeling with single arm,MVP,647,7,11.56%,57.14%,57.14%,0,-1.14,99.64%,136,87.93%,0.00%,0,0.61%,0.00%
14,bicep curl kneeling with single arm with resting arm half up,List A,648,7,11.36%,42.86%,57.14%,0,-1.43,100.00%,144,94.07%,0.00%,0,0.00%,0.00%
15,bicep curl standing alternating with resting arm down,MVP,657,9,10.82%,44.44%,77.78%,0,-0.22,97.31%,99,95.94%,1.11%,0,1.82%,-1.13%
16,bicep curl standing alternating with resting arm up,List A,652,9,10.06%,0.00%,100.00%,0,0.56,99.89%,90,92.51%,0.00%,0,0.26%,-0.41%
17,bicep curl standing with both arms,MVP,653,20,1.46%,85.00%,100.00%,1,0.15,99.12%,195,92.64%,0.00%,0,0.28%,0.00%
18,bicep curl standing with single arm,MVP,655,11,1.34%,72.73%,100.00%,1,0.09,99.78%,203,94.48%,0.00%,0,0.43%,0.00%
19,bird dog opposite arm and leg knee to elbow,List A,1024,15,20.44%,6.67%,40.00%,0,0.67,98.75%,269,94.78%,-0.33%,0,1.03%,-0.17%
20,bird dog opposite arm and leg rep,List A,1025,7,0.00%,100.00%,100.00%,1,0.00,98.13%,99,66.10%,-0.71%,0,1.15%,-0.11%
21,bodyweight squat 1.5 squat,List A,572,12,30.05%,33.33%,50.00%,0,1.50,94.54%,125,97.48%,0.00%,0,3.22%,0.51%
22,bodyweight squat arms by side,MVP,575,6,6.08%,33.33%,83.33%,1,-0.50,90.54%,82,71.86%,2.78%,0,0.74%,-4.04%
23,bodyweight squat arms overhead,MVP,573,7,1.43%,85.71%,100.00%,1,0.14,99.61%,68,59.06%,0.00%,0,0.43%,-0.94%
24,bodyweight squat arms straight out,MVP,574,4,2.50%,75.00%,100.00%,1,0.25,97.68%,38,33.59%,2.50%,0,4.60%,-8.13%
25,bodyweight squat arms swinging,MVP,576,5,0.00%,100.00%,100.00%,1,0.00,94.08%,57,96.99%,0.00%,0,0.81%,-0.02%
26,bodyweight squat hands at shoulders,MVP,329,19,1.96%,89.47%,94.74%,1,-0.21,96.29%,201,94.12%,0.00%,0,0.29%,-0.03%
27,bodyweight squat hands centered,MVP,577,19,1.28%,89.47%,100.00%,1,0.11,95.15%,194,92.82%,0.00%,0,2.78%,-0.41%
