,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v5_fastridefix,n_sets delta w/ hydra_v5_fastridefix,is_FA delta w/ hydra_v5_fastridefix,signal_score delta w/ hydra_v5_fastridefix
0,alternating lunge jumps with both arms swinging,List A,613,17,7.03%,58.82%,82.35%,1,-0.06,98.15%,181,90.78%,-2.81%,0.00,-0.14%,3.57%
1,alternating lunge jumps with runner arms,List A,612,15,12.20%,33.33%,80.00%,0,0.07,97.38%,204,92.17%,-10.93%,0.00,0.02%,82.85%
2,bent over row kneeling alternating with resting arm down,MVP,620,6,17.78%,16.67%,50.00%,0,-1.50,97.51%,95,65.24%,4.68%,0.00,0.24%,-1.37%
3,bent over row kneeling both arms,MVP,618,7,2.29%,71.43%,100.00%,1,0.00,99.92%,86,93.27%,-1.63%,0.00,0.00%,4.89%
4,bent over row standing alternating with resting arm down,MVP,614,8,9.00%,50.00%,75.00%,1,-1.13,99.46%,108,67.12%,-0.69%,0.00,-0.16%,9.42%
5,bent over row standing alternating with resting arm up,List A,615,4,14.46%,25.00%,50.00%,0,-1.50,100.00%,60,80.39%,4.75%,0.00,0.00%,1.62%
6,bent over row standing both arms,MVP,616,9,1.11%,88.89%,100.00%,1,-0.11,99.71%,90,90.90%,1.11%,0.00,-0.09%,-4.47%
7,bent over row standing single arm,MVP,619,6,21.44%,0.00%,33.33%,0,-3.50,90.65%,112,59.83%,3.33%,0.00,-0.27%,2.05%
8,bicep curl balancing left alternating with resting arm down,MVP,629,8,1.25%,87.50%,100.00%,1,0.13,97.30%,82,94.65%,0.00%,0.00,-0.66%,-1.69%
9,bicep curl balancing left single arm,MVP,637,6,6.25%,33.33%,66.67%,1,-0.67,96.63%,148,82.51%,-0.31%,0.00,-0.05%,-12.44%
10,bicep curl balancing right both arms,MVP,632,9,1.11%,88.89%,100.00%,1,0.11,97.81%,92,98.71%,0.00%,0.00,-0.11%,-0.22%
11,bicep curl kneeling alternating with resting arm down,MVP,643,10,0.71%,90.00%,100.00%,1,0.10,97.60%,110,88.78%,-1.71%,0.00,0.13%,-4.38%
12,bicep curl kneeling with both arms,MVP,645,12,1.59%,83.33%,100.00%,1,0.17,98.13%,111,96.37%,0.00%,0.00,0.11%,-0.90%
13,bicep curl kneeling with single arm,MVP,647,7,13.95%,57.14%,71.43%,0,-0.86,99.72%,136,91.14%,2.38%,0.00,0.09%,3.21%
14,bicep curl kneeling with single arm with resting arm half up,List A,648,7,11.36%,28.57%,71.43%,0,-1.71,100.00%,144,94.08%,0.00%,0.00,0.00%,0.01%
15,bicep curl standing alternating with resting arm down,MVP,657,9,6.75%,55.56%,88.89%,1,-0.11,97.45%,99,90.89%,-4.07%,0.00,0.14%,-5.05%
16,bicep curl standing alternating with resting arm up,List A,652,9,15.62%,0.00%,77.78%,0,0.00,99.95%,90,89.36%,5.56%,0.00,0.05%,-3.15%
17,bicep curl standing with both arms,MVP,653,20,4.34%,85.00%,95.00%,1,0.30,99.22%,195,92.28%,2.88%,0.00,0.10%,-0.36%
18,bicep curl standing with single arm,MVP,655,11,1.34%,72.73%,100.00%,1,0.09,99.73%,203,95.36%,0.00%,0.00,-0.05%,0.88%
19,bird dog opposite arm and leg knee to elbow,List A,1024,15,19.05%,20.00%,33.33%,0,1.00,98.78%,269,91.43%,-1.39%,0.00,0.04%,-3.35%
20,bird dog opposite arm and leg rep,List A,1025,7,1.59%,85.71%,100.00%,1,0.14,97.70%,99,70.95%,1.59%,0.00,-0.43%,4.85%
21,bodyweight squat 1.5 squat,List A,572,12,29.23%,33.33%,50.00%,0,1.42,95.10%,125,95.86%,-0.82%,0.00,0.56%,-1.62%
22,bodyweight squat arms by side,MVP,575,6,4.59%,50.00%,83.33%,1,0.00,91.43%,82,81.02%,-1.50%,0.00,0.89%,9.16%
23,bodyweight squat arms overhead,MVP,573,7,0.00%,100.00%,100.00%,1,0.00,99.51%,68,62.42%,-1.43%,0.00,-0.11%,3.37%
24,bodyweight squat arms straight out,MVP,574,4,2.50%,75.00%,100.00%,1,0.25,98.38%,38,42.00%,0.00%,0.00,0.70%,8.41%
25,bodyweight squat arms swinging,MVP,576,5,0.00%,100.00%,100.00%,1,0.00,93.96%,57,96.31%,0.00%,0.00,-0.12%,-0.68%
26,bodyweight squat hands at shoulders,MVP,329,19,2.45%,78.95%,94.74%,1,-0.05,96.26%,201,96.54%,0.49%,0.00,-0.04%,2.43%
27,bodyweight squat hands centered,MVP,577,19,0.00%,100.00%,100.00%,1,0.00,95.34%,194,93.00%,-1.28%,0.00,0.19%,0.17%
28,bodyweight squat hands on head,MVP,578,13,2.31%,84.62%,92.31%,1,-0.23,98.03%,128,95.50%,0.00%,0.00,0.08%,0.18%
29,bodyweight sumo squat 1.5 squat,List A,1628,3,27.02%,0.00%,33.33%,0,3.00,98.37%,34,95.65%,8.84%,0.00,0.00%,0.83%
30,bodyweight sumo squat arms overhead,MVP,1629,5,9.09%,80.00%,80.00%,1,-1.00,96.36%,51,75.11%,-4.00%,0.00,-0.06%,3.76%
31,bodyweight sumo squat arms straight out,MVP,1630,5,0.00%,100.00%,100.00%,1,0.00,97.63%,55,89.61%,0.00%,0.00,-0.61%,0.44%
32,bodyweight sumo squat arms swinging,MVP,1631,5,1.82%,80.00%,100.00%,1,-0.20,93.36%,56,93.31%,1.82%,0.00,0.70%,-1.68%
33,bodyweight sumo squat hands centered,MVP,1632,5,0.00%,100.00%,100.00%,1,0.00,96.37%,50,79.43%,0.00%,0.00,-0.08%,0.33%
34,bodyweight sumo squat hands on head,MVP,1633,5,18.00%,40.00%,60.00%,0,-1.40,81.48%,52,85.11%,6.00%,0.00,0.38%,6.81%
35,bridging clamshells,List A,543,6,0.00%,100.00%,100.00%,1,0.00,100.00%,41,65.10%,-4.17%,0.00,0.00%,-4.93%
36,broad jump with back pedal,List A,1035,18,13.48%,38.89%,77.78%,0,1.61,99.78%,222,39.13%,-14.49%,0.00,0.12%,-38.84%
37,broad jump with jump back,List A,1037,7,34.61%,0.00%,28.57%,0,0.14,89.90%,51,71.52%,14.46%,0.00,-1.43%,17.04%
38,burpee chest to the ground,MVP,664,18,7.59%,66.67%,94.44%,1,0.17,93.79%,98,85.56%,0.56%,0.00,-0.06%,1.71%
39,burpee from plank,MVP,665,16,5.47%,75.00%,87.50%,1,-0.13,92.94%,88,81.95%,2.99%,0.00,0.00%,3.44%
40,burpee with pushup,MVP,666,17,17.55%,41.18%,76.47%,0,-0.47,94.94%,109,65.18%,0.20%,0.00,-0.01%,5.64%
41,chest fly standing both arms,MVP,1050,8,3.52%,62.50%,100.00%,1,0.38,97.32%,81,97.74%,-0.96%,0.00,-0.08%,-0.66%
