,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,n_sets delta w/ hydra_v6b_python,signal_score delta w/ hydra_v6b_python,n_sets delta w/ hydra_v6_fastridefix,signal_score delta w/ hydra_v6_fastridefix
0,alternating lunge jumps with both arms swinging,List A,613,16,60.06%,31.25%,37.50%,0,2.625,93.59%,136,93.22%,0.00,9.77%,-1.00,6.01%
1,alternating lunge jumps with runner arms,List A,612,18,76.98%,27.78%,27.78%,0,5.16666667,99.04%,164,89.13%,2.00,4.59%,3.00,79.81%
2,arnold press kneeling alternating with resting arm up,List B,1536,4,28.27%,0.00%,0.00%,0,-0.25,88.08%,52,94.66%,1.00,35.24%,#N/A,#N/A
3,arnold press kneeling both arms at once,List B,1537,7,23.81%,57.14%,57.14%,0,-1.1428571,91.82%,79,96.07%,0.00,9.92%,#N/A,#N/A
4,arnold press kneeling single arm,List B,1538,14,31.81%,42.86%,71.43%,0,0.64285714,94.15%,105,88.19%,2.00,3.60%,#N/A,#N/A
5,arnold press kneeling single arm with resting arm hold at bottom of rep,List B,1539,2,42.86%,50.00%,50.00%,0,3,100.00%,26,89.85%,1.00,10.63%,#N/A,#N/A
6,arnold press standing alternating with resting arm down,List B,1544,4,14.29%,25.00%,50.00%,0,-0.5,98.73%,59,91.99%,1.00,0.76%,#N/A,#N/A
7,arnold press standing alternating with resting arm up,List B,1540,4,47.81%,0.00%,25.00%,0,8.25,99.27%,60,87.00%,-1.00,7.80%,#N/A,#N/A
8,arnold press standing both arms at once,List B,1541,3,31.67%,33.33%,33.33%,0,1.33333333,94.98%,32,94.09%,0.00,8.21%,#N/A,#N/A
9,arnold press standing single arm,List B,1542,20,34.30%,35.00%,65.00%,0,1.65,97.75%,137,91.77%,2.00,6.07%,#N/A,#N/A
10,bent over row kneeling alternating with resting arm down,MVP,620,11,9.96%,54.55%,81.82%,1,-1.2727273,99.14%,150,59.45%,0.00,0.44%,5.00,-7.17%
11,bent over row kneeling alternating with resting arm up,List B,621,13,13.30%,38.46%,61.54%,0,-0.4615385,98.75%,169,77.02%,0.00,1.59%,#N/A,#N/A
12,bent over row kneeling both arms,MVP,618,10,1.77%,80.00%,100.00%,1,0,99.88%,122,92.40%,0.00,2.23%,3.00,4.02%
13,bent over row standing alternating with resting arm down,MVP,614,10,16.80%,30.00%,50.00%,0,-2.4,99.87%,143,57.22%,1.00,14.34%,2.00,-0.48%
14,bent over row standing alternating with resting arm up,List A,615,5,17.72%,20.00%,60.00%,0,-2.4,100.00%,71,77.63%,0.00,-0.32%,1.00,-1.14%
15,bent over row standing both arms,MVP,616,13,5.42%,69.23%,84.62%,1,0.15384615,99.57%,116,92.96%,1.00,1.75%,4.00,-2.42%
16,bent over row standing single arm,MVP,619,6,65.53%,16.67%,16.67%,0,7.16666667,98.12%,72,47.39%,2.00,23.81%,0.00,-10.39%
17,bicep curl balancing left alternating with resting arm down,MVP,629,8,7.64%,37.50%,87.50%,1,0.75,98.43%,80,93.80%,1.00,-1.48%,0.00,-2.55%
18,bicep curl balancing left single arm,MVP,637,8,33.52%,25.00%,62.50%,0,2.75,97.24%,146,81.97%,3.00,-5.27%,2.00,-12.98%
19,bicep curl balancing right both arms,MVP,632,10,12.83%,30.00%,80.00%,0,-0.4,98.87%,108,92.41%,2.00,1.85%,1.00,-6.52%
20,bicep curl balancing right single arm,List B,636,6,40.44%,0.00%,16.67%,0,-1.6666667,97.59%,110,88.16%,2.00,-2.83%,#N/A,#N/A
21,bicep curl kneeling alternating with resting arm down,MVP,643,9,6.40%,44.44%,88.89%,1,0.66666667,98.27%,95,85.17%,5.00,-6.02%,-1.00,-7.99%
22,bicep curl kneeling alternating with resting arm up,List B,644,9,16.57%,11.11%,44.44%,0,0.88888889,99.32%,99,93.09%,5.00,-0.35%,#N/A,#N/A
23,bicep curl kneeling with both arms,MVP,645,11,1.82%,90.91%,90.91%,1,0.18181818,99.31%,110,94.78%,7.00,-1.84%,-1.00,-2.49%
24,bicep curl kneeling with single arm,MVP,647,7,71.25%,0.00%,28.57%,0,4.71428571,100.00%,100,91.01%,2.00,-0.84%,0.00,3.08%
25,bicep curl kneeling with single arm with resting arm half up,List A,648,8,79.50%,0.00%,25.00%,0,7.125,100.00%,121,94.19%,3.00,7.15%,1.00,0.12%
26,bicep curl standing 1.5 rep,List B,649,17,45.86%,17.65%,41.18%,0,4.11764706,98.17%,286,98.64%,2.00,3.22%,#N/A,#N/A
27,bicep curl standing alternating with resting arm down,MVP,657,12,3.70%,83.33%,91.67%,1,0.16666667,98.43%,133,89.63%,6.00,-2.18%,3.00,-6.31%
28,bicep curl standing alternating with resting arm up,List A,652,12,15.44%,16.67%,75.00%,0,-0.5833333,99.80%,132,90.18%,8.00,0.16%,3.00,-2.33%
29,bicep curl standing bottom half rep,List B,1695,3,19.09%,33.33%,66.67%,0,2.33333333,84.15%,33,76.44%,0.00,15.52%,#N/A,#N/A
30,bicep curl standing top half rep,List B,1696,3,9.39%,33.33%,66.67%,1,1,99.30%,30,63.78%,-1.00,-2.87%,#N/A,#N/A
31,bicep curl standing with both arms,MVP,653,19,5.39%,47.37%,100.00%,1,0.42105263,98.76%,184,90.62%,6.00,6.61%,-1.00,-2.02%
32,bicep curl standing with single arm,MVP,655,11,30.48%,45.45%,72.73%,0,3,98.74%,165,95.01%,5.00,1.01%,0.00,0.54%
33,bicycle,MVP-X,18,15,20.99%,26.67%,60.00%,0,-1.1333333,95.44%,244,72.40%,-3.00,24.80%,#N/A,#N/A
34,bird dog opposite arm and leg knee to elbow,List A,1024,13,102.78%,0.00%,15.38%,0,10,98.87%,126,89.56%,8.00,0.66%,-2.00,-5.22%
35,bird dog opposite arm and leg rep,List A,1025,1,0.00%,100.00%,100.00%,1,0,99.60%,9,95.42%,#N/A,#N/A,-6.00,29.32%
36,bodyweight squat 1.5 squat,List A,572,12,41.85%,16.67%,50.00%,0,2.91666667,95.41%,126,95.41%,0.00,0.30%,0.00,-2.07%
37,bodyweight squat arms by side,MVP,575,12,11.81%,50.00%,75.00%,0,-0.25,87.29%,156,91.05%,0.00,-0.78%,6.00,19.19%
38,bodyweight squat arms overhead,MVP,573,7,6.43%,57.14%,85.71%,1,0.71428571,99.15%,68,63.30%,0.00,-22.59%,0.00,4.25%
39,bodyweight squat arms straight out,MVP,574,9,15.66%,55.56%,55.56%,0,0.11111111,91.65%,101,58.34%,-1.00,-18.96%,5.00,24.75%
40,bodyweight squat arms swinging,MVP,576,5,2.00%,80.00%,100.00%,1,0.2,91.07%,55,96.80%,1.00,9.42%,0.00,-0.19%
41,bodyweight squat hands at shoulders,MVP,329,20,10.28%,80.00%,90.00%,0,0.75,96.40%,200,96.51%,0.00,5.05%,1.00,2.40%
42,bodyweight squat hands centered,MVP,577,17,2.22%,82.35%,100.00%,1,0.17647059,99.13%,203,96.39%,0.00,3.09%,-2.00,3.56%
43,bodyweight squat hands on head,MVP,578,11,2.73%,81.82%,90.91%,1,-0.0909091,96.37%,107,94.92%,-1.00,4.65%,-2.00,-0.39%
44,bodyweight squat side step squat,List B,580,8,16.53%,62.50%,75.00%,0,1,94.05%,75,96.57%,0.00,7.00%,#N/A,#N/A
45,bodyweight squat to knee drive,List B,584,17,10.88%,29.41%,82.35%,0,1.11764706,96.99%,180,82.81%,0.00,-4.10%,#N/A,#N/A
46,bodyweight squat to twisting knee drive,List B,585,10,32.80%,20.00%,70.00%,0,0.9,98.17%,99,80.04%,0.00,-3.13%,#N/A,#N/A
47,bodyweight sumo squat 1.5 squat,List A,1628,8,46.46%,0.00%,12.50%,0,5.25,95.54%,90,95.44%,3.00,2.29%,5.00,0.63%
48,bodyweight sumo squat arms overhead,MVP,1629,8,8.18%,75.00%,75.00%,1,-0.875,94.23%,84,87.65%,6.00,14.47%,3.00,16.29%
49,bodyweight sumo squat arms straight out,MVP,1630,5,0.00%,100.00%,100.00%,1,0,98.47%,55,89.59%,#N/A,#N/A,0.00,0.42%
