,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,n_sets delta w/ hydra_v6_v10dataset,is_FA delta w/ hydra_v6_v10dataset,Notes,MARE Vs Hydra V6
0,alternating lunge jumps with both arms swinging,List A,613,16,60.06%,31.25%,37.50%,0,2.625,93.59%,136,93.22%,-2.00,-5.18%,,53.03%
1,alternating lunge jumps with runner arms,List A,612,18,76.98%,27.78%,27.78%,0,5.16666667,99.04%,164,89.13%,4.00,-0.96%,,64.79%
2,arnold press kneeling alternating with resting arm up,List B,1536,4,28.27%,0.00%,0.00%,0,-0.25,88.08%,52,94.66%,0.00,-10.11%,,#N/A
3,arnold press kneeling both arms at once,List B,1537,7,23.81%,57.14%,57.14%,0,-1.1428571,91.82%,79,96.07%,2.00,-6.72%,,#N/A
4,arnold press kneeling single arm,List B,1538,14,31.81%,42.86%,71.43%,0,0.64285714,94.15%,105,88.19%,0.00,-5.15%,,#N/A
5,arnold press kneeling single arm with resting arm hold at bottom of rep,List B,1539,2,42.86%,50.00%,50.00%,0,3,100.00%,26,89.85%,0.00,0.12%,,#N/A
6,arnold press standing alternating with resting arm down,List B,1544,4,14.29%,25.00%,50.00%,0,-0.5,98.73%,59,91.99%,0.00,-0.04%,,#N/A
7,arnold press standing alternating with resting arm up,List B,1540,4,47.81%,0.00%,25.00%,0,8.25,99.27%,60,87.00%,0.00,-0.13%,,#N/A
8,arnold press standing both arms at once,List B,1541,3,31.67%,33.33%,33.33%,0,1.33333333,94.98%,32,94.09%,0.00,-3.26%,,#N/A
9,arnold press standing single arm,List B,1542,20,34.30%,35.00%,65.00%,0,1.65,97.75%,137,91.77%,1.00,-0.99%,,#N/A
10,bent over row kneeling alternating with resting arm down,MVP,620,11,9.96%,54.55%,81.82%,1,-1.2727273,99.14%,150,59.45%,0.00,1.34%,,-7.82%
11,bent over row kneeling alternating with resting arm up,List B,621,13,13.30%,38.46%,61.54%,0,-0.4615385,98.75%,169,77.02%,2.00,-1.15%,,#N/A
12,bent over row kneeling both arms,MVP,618,10,1.77%,80.00%,100.00%,1,0,99.88%,122,92.40%,-3.00,0.40%,,-0.52%
13,bent over row standing alternating with resting arm down,MVP,614,10,16.80%,30.00%,50.00%,0,-2.4,99.87%,143,57.22%,-1.00,0.00%,,7.80%
14,bent over row standing alternating with resting arm up,List A,615,5,17.72%,20.00%,60.00%,0,-2.4,100.00%,71,77.63%,-2.00,0.00%,,3.26%
15,bent over row standing both arms,MVP,616,13,5.42%,69.23%,84.62%,1,0.15384615,99.57%,116,92.96%,-1.00,-0.18%,,4.30%
16,bent over row standing single arm,MVP,619,6,65.53%,16.67%,16.67%,0,7.16666667,98.12%,72,47.39%,-2.00,-1.01%,,44.09%
