,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v6_FAstridefix,n_sets delta w/ hydra_v6_FAstridefix,is_FA delta w/ hydra_v6_FAstridefix,signal_score delta w/ hydra_v6_FAstridefix
0,alternating lunge jumps with both arms swinging,List A,613,17,6.54%,58.82%,88.24%,1,0,98.22%,181,90.30%,-0.49%,0.00,0.07%,-0.47%
1,alternating lunge jumps with runner arms,List A,612,15,14.13%,26.67%,66.67%,0,-0.3333333,97.38%,204,92.44%,1.94%,0.00,0.00%,0.28%
2,bent over row kneeling alternating with resting arm down,MVP,620,6,18.47%,33.33%,33.33%,0,-1.3333333,98.64%,95,63.90%,0.69%,0.00,1.13%,-1.34%
3,bent over row kneeling both arms,MVP,618,7,3.72%,57.14%,100.00%,1,0.14285714,100.00%,86,90.82%,1.43%,0.00,0.08%,-2.45%
4,bent over row standing alternating with resting arm down,MVP,614,8,10.99%,25.00%,75.00%,0,-1.375,99.63%,108,68.25%,1.99%,0.00,0.17%,1.13%
5,bent over row standing alternating with resting arm up,List A,615,4,23.56%,0.00%,25.00%,0,-3.75,100.00%,60,79.26%,9.10%,0.00,0.00%,-1.14%
6,bent over row standing both arms,MVP,616,9,0.00%,100.00%,100.00%,1,0,99.87%,90,90.80%,-1.11%,0.00,0.16%,-0.10%
7,bent over row standing single arm,MVP,619,6,7.42%,33.33%,66.67%,1,-1.5,96.58%,112,47.50%,-14.02%,0.00,5.93%,-12.33%
8,bicep curl balancing left alternating with resting arm down,MVP,629,8,2.64%,75.00%,100.00%,1,0.25,99.39%,82,98.02%,1.39%,0.00,2.09%,3.36%
9,bicep curl balancing left single arm,MVP,637,6,5.94%,50.00%,66.67%,1,-0.3333333,97.49%,148,94.73%,-0.31%,0.00,0.86%,12.22%
10,bicep curl balancing right both arms,MVP,632,9,1.11%,88.89%,100.00%,1,0.11111111,99.01%,92,98.04%,0.00%,0.00,1.20%,-0.67%
11,bicep curl kneeling alternating with resting arm down,MVP,643,10,5.53%,70.00%,80.00%,1,0.2,93.57%,110,89.20%,4.82%,0.00,-4.03%,0.42%
12,bicep curl kneeling with both arms,MVP,645,12,1.59%,83.33%,100.00%,1,0.16666667,95.01%,111,95.49%,0.00%,0.00,-3.12%,-0.88%
13,bicep curl kneeling with single arm,MVP,647,7,10.88%,57.14%,71.43%,0,-1.2857143,99.15%,136,84.88%,-3.06%,0.00,-0.57%,-6.26%
14,bicep curl kneeling with single arm with resting arm half up,List A,648,7,9.29%,71.43%,71.43%,1,-1.8571429,98.45%,144,93.99%,-2.08%,0.00,-1.55%,-0.09%
15,bicep curl standing alternating with resting arm down,MVP,657,9,8.60%,55.56%,88.89%,1,-0.4444444,98.35%,99,91.65%,1.85%,0.00,0.90%,0.76%
16,bicep curl standing alternating with resting arm up,List A,652,9,11.23%,22.22%,88.89%,0,0,99.79%,90,85.41%,-4.38%,0.00,-0.16%,-3.95%
17,bicep curl standing with both arms,MVP,653,20,6.01%,85.00%,95.00%,1,-0.45,99.02%,195,93.00%,1.67%,0.00,-0.20%,0.72%
18,bicep curl standing with single arm,MVP,655,10,1.48%,70.00%,100.00%,1,0.1,99.61%,183,95.13%,0.13%,-1.00,-0.12%,-0.23%
19,bird dog opposite arm and leg knee to elbow,List A,1024,15,19.44%,13.33%,46.67%,0,0.73333333,99.35%,269,90.41%,0.39%,0.00,0.57%,-1.02%
20,bird dog opposite arm and leg rep,List A,1025,7,0.00%,100.00%,100.00%,1,0,98.85%,99,69.09%,-1.59%,0.00,1.14%,-1.86%
21,bodyweight squat 1.5 squat,List A,572,12,44.96%,8.33%,33.33%,0,2.91666667,93.66%,125,96.54%,15.73%,0.00,-1.44%,0.68%
22,bodyweight squat arms by side,MVP,575,6,1.28%,83.33%,100.00%,1,0.16666667,95.00%,82,73.55%,-3.31%,0.00,3.57%,-7.47%
23,bodyweight squat arms overhead,MVP,573,7,2.38%,85.71%,85.71%,1,0.28571429,99.61%,68,68.75%,2.38%,0.00,0.11%,6.32%
24,bodyweight squat arms straight out,MVP,574,4,2.50%,75.00%,100.00%,1,0.25,98.63%,38,46.62%,0.00%,0.00,0.25%,4.62%
