,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,FA Delta With V7,MARE Delta With V7,Clip Delta
0,alternating lunge jumps with both arms swinging,List A,613,17,3.88%,64.71%,94.12%,1,0.05882352941,98.00%,181,71.48%,-0.26%,-2.46%,0
1,alternating lunge jumps with runner arms,List A,612,15,12.50%,40.00%,66.67%,0,-0.4666666667,99.84%,204,60.60%,2.45%,2.76%,0
2,bent over row kneeling alternating with resting arm down,MVP,620,6,16.88%,16.67%,50.00%,0,1.666666667,98.82%,95,51.92%,0.09%,9.13%,0
3,bent over row kneeling both arms,MVP,618,7,10.18%,42.86%,85.71%,0,0.5714285714,99.67%,86,75.57%,-0.25%,7.89%,0
4,bent over row standing alternating with resting arm down,MVP,614,8,8.82%,37.50%,75.00%,1,-0.25,99.24%,108,58.73%,-0.30%,1.36%,0
5,bent over row standing alternating with resting arm up,List A,615,4,40.21%,0.00%,0.00%,0,-6,100.00%,60,56.94%,0.11%,22.76%,0
6,bent over row standing both arms,MVP,616,9,1.85%,88.89%,88.89%,1,0.2222222222,99.25%,90,92.17%,-0.62%,1.85%,0
7,bent over row standing single arm,MVP,619,6,14.62%,16.67%,33.33%,0,0.1666666667,98.70%,112,42.43%,1.35%,1.67%,0
8,bicep curl balancing left alternating with resting arm down,MVP,629,8,3.78%,62.50%,100.00%,1,0.125,98.93%,82,82.70%,-0.52%,2.53%,0
9,bicep curl balancing left single arm,MVP,637,6,4.17%,33.33%,66.67%,1,0.3333333333,98.13%,148,89.43%,0.96%,-2.08%,0
10,bicep curl balancing right both arms,MVP,632,9,1.11%,88.89%,100.00%,1,0.1111111111,98.78%,92,94.83%,-0.13%,0.00%,0
11,bicep curl kneeling alternating with resting arm down,MVP,643,10,8.91%,60.00%,90.00%,1,0.7,97.84%,110,55.72%,3.79%,5.38%,0
12,bicep curl kneeling with both arms,MVP,645,12,2.42%,75.00%,100.00%,1,0.25,98.54%,111,81.33%,3.32%,1.52%,1
13,bicep curl kneeling with single arm,MVP,647,6,8.53%,50.00%,66.67%,1,1.5,99.55%,115,75.65%,0.11%,5.36%,0
14,bicep curl kneeling with single arm with resting arm half up,List A,648,7,13.38%,28.57%,57.14%,0,-1.857142857,98.33%,144,66.67%,-0.07%,2.66%,0
15,bicep curl standing alternating with resting arm down,MVP,657,9,0.93%,88.89%,100.00%,1,-0.1111111111,97.66%,99,87.39%,-0.42%,-4.71%,0
16,bicep curl standing alternating with resting arm up,List A,652,9,23.09%,0.00%,44.44%,0,-1,100.00%,90,59.55%,0.21%,9.63%,0
17,bicep curl standing with both arms,MVP,653,19,7.25%,78.95%,94.74%,1,-0.5263157895,99.18%,188,89.59%,0.05%,0.93%,0
18,bicep curl standing with single arm,MVP,655,10,2.00%,60.00%,100.00%,1,0.2,99.94%,183,94.09%,0.41%,0.53%,0
19,bird dog opposite arm and leg knee to elbow,List A,1024,14,19.76%,21.43%,50.00%,0,0.4285714286,98.81%,249,89.70%,-0.55%,-0.36%,0
20,bird dog opposite arm and leg rep,List A,1025,7,0.00%,100.00%,100.00%,1,0,98.52%,99,75.98%,-0.31%,-1.59%,0
21,bodyweight squat 1.5 squat,List A,572,12,52.99%,0.00%,8.33%,0,4.25,93.57%,125,89.42%,-0.02%,18.27%,0
22,bodyweight squat arms by side,MVP,575,6,4.34%,50.00%,100.00%,1,0.5,95.57%,82,55.40%,0.57%,2.67%,0
23,bodyweight squat arms overhead,MVP,573,7,2.62%,71.43%,100.00%,1,0.2857142857,99.17%,68,32.23%,-0.54%,2.62%,0
24,bodyweight squat arms straight out,MVP,574,4,0.00%,100.00%,100.00%,1,0,99.50%,38,26.90%,0.92%,-2.50%,0
25,bodyweight squat arms swinging,MVP,576,5,6.97%,20.00%,100.00%,1,0.4,93.55%,57,68.62%,-0.89%,5.15%,0
26,bodyweight squat hands at shoulders,MVP,329,19,1.68%,84.21%,94.74%,1,-0.1052631579,98.51%,201,72.47%,-0.52%,-0.24%,0
27,bodyweight squat hands centered,MVP,577,19,2.21%,78.95%,100.00%,1,0.2105263158,94.44%,194,82.76%,-0.70%,1.68%,0
28,bodyweight squat hands on head,MVP,578,13,2.31%,84.62%,92.31%,1,-0.2307692308,98.30%,128,78.82%,0.15%,0.00%,0
29,bodyweight sumo squat 1.5 squat,List A,1628,3,30.30%,33.33%,33.33%,0,3.333333333,99.95%,34,87.58%,0.78%,9.34%,0
30,bodyweight sumo squat arms overhead,MVP,1629,5,23.09%,60.00%,60.00%,0,-2.4,83.03%,51,81.75%,-5.13%,2.00%,0
31,bodyweight sumo squat arms straight out,MVP,1630,5,1.82%,80.00%,100.00%,1,0.2,99.09%,55,63.01%,0.54%,0.00%,0
32,bodyweight sumo squat arms swinging,MVP,1631,5,1.82%,80.00%,100.00%,1,-0.2,94.82%,56,69.70%,-0.72%,-1.82%,0
33,bodyweight sumo squat hands centered,MVP,1632,5,4.00%,80.00%,80.00%,1,0.4,94.59%,50,58.65%,-3.73%,2.00%,0
34,bodyweight sumo squat hands on head,MVP,1633,5,13.64%,60.00%,60.00%,0,-0.6,96.35%,52,30.30%,1.64%,-6.00%,0
35,bridging clamshells,List A,543,6,16.67%,66.67%,83.33%,0,0.6666666667,99.87%,41,66.61%,-0.13%,16.67%,0
36,broad jump with back pedal,List A,1035,17,21.33%,41.18%,76.47%,0,2.941176471,95.37%,212,54.08%,-4.57%,10.48%,0
37,broad jump with jump back,List A,1037,7,42.69%,14.29%,42.86%,0,1.571428571,97.11%,51,40.35%,0.52%,19.64%,0
38,burpee chest to the ground,MVP,664,18,2.31%,88.89%,100.00%,1,0,92.60%,98,81.51%,-1.41%,-1.39%,0
39,burpee from plank,MVP,665,14,11.47%,57.14%,92.86%,0,-0.5714285714,93.09%,76,52.42%,-1.22%,2.98%,0
40,burpee with pushup,MVP,666,17,14.12%,70.59%,82.35%,0,-1.647058824,94.27%,109,71.57%,-1.05%,2.75%,0
41,chest fly standing both arms,MVP,1050,8,0.00%,100.00%,100.00%,1,0,94.70%,81,97.21%,-4.42%,-4.48%,0
42,chest fly standing staggered both arms,MVP,1051,12,5.09%,41.67%,100.00%,1,-0.25,91.95%,138,96.72%,-7.33%,-0.45%,0
43,clamshells from laying,List A,587,17,8.88%,58.82%,88.24%,1,-0.8823529412,99.87%,201,51.16%,1.00%,1.85%,0
44,clean both arms hang,List A,1058,20,6.57%,50.00%,95.00%,1,0.6,95.43%,193,86.64%,-2.90%,-0.98%,1
45,clean single arm alternating,List A,1060,16,13.64%,81.25%,81.25%,0,1.375,97.04%,160,87.97%,-1.37%,2.10%,0
46,concentrated curl kneeling lunge,List A,1030,18,9.07%,33.33%,72.22%,1,0.3888888889,91.98%,183,68.37%,-0.82%,1.30%,0
47,cross body curl kneeling alternating with resting arm down,MVP,588,16,7.44%,81.25%,93.75%,1,-0.8125,86.22%,169,86.02%,-10.89%,3.81%,0
48,cross body curl standing alternating with resting arm down,MVP,592,16,12.50%,87.50%,87.50%,0,-1.375,84.37%,160,82.11%,-13.64%,9.83%,1
49,cross body curl standing single arm with resting arm down,MVP,593,10,9.72%,70.00%,90.00%,1,-2,92.23%,196,94.03%,-5.40%,-0.97%,0
50,crunch arms above you,List A,1082,18,15.87%,55.56%,61.11%,0,-0.8333333333,98.35%,195,51.49%,-1.46%,3.27%,1
51,crunch arms overhead,List A,1081,16,5.57%,68.75%,93.75%,1,0.25,99.15%,158,59.43%,0.70%,2.14%,0
52,crunch table top,List A,1083,18,11.89%,38.89%,72.22%,0,-0.05555555556,99.75%,191,38.28%,0.03%,7.40%,2
53,deadlift arms by side,MVP,671,15,7.04%,80.00%,86.67%,1,-0.6666666667,88.48%,143,82.03%,-2.54%,0.67%,0
54,deadlift arms straight out,MVP,672,15,5.41%,80.00%,93.33%,1,-0.2666666667,94.97%,144,84.43%,0.71%,0.74%,0
55,deadlift hands on hips,MVP,673,15,4.74%,86.67%,93.33%,1,-0.3333333333,94.53%,151,84.68%,2.07%,0.74%,0
56,deadlift romanian,MVP,675,10,3.22%,80.00%,90.00%,1,0.4,94.31%,98,91.12%,2.90%,3.22%,0
57,deadlift single dumbbell,MVP,676,9,11.13%,33.33%,77.78%,0,-1,97.08%,128,81.86%,6.47%,3.15%,0
58,deadlift suitcase,MVP,677,7,9.09%,85.71%,85.71%,1,-1,97.69%,72,85.88%,5.07%,0.00%,0
59,dumbbell pass through on knees,List A,1141,17,13.43%,35.29%,58.82%,0,0.3529411765,96.89%,174,47.50%,-1.78%,1.83%,0
60,dumbbell pass through on toes,List A,1142,19,14.31%,36.84%,78.95%,0,-0.7894736842,90.58%,190,57.87%,-7.55%,-3.76%,1
61,dumbbell push up on knees,MVP,1530,5,12.38%,60.00%,60.00%,0,1,98.43%,44,74.33%,-0.49%,6.67%,0
62,dumbbell push up on toes,MVP,1529,4,0.00%,100.00%,100.00%,1,0,98.27%,40,75.26%,-0.15%,-2.50%,0
63,dumbbell swing alternating single arm passing dumbbell,List A,679,16,19.77%,18.75%,62.50%,0,-2.0625,88.14%,178,63.75%,-10.33%,11.71%,0
64,dumbbell swing both arms single dumbbell,List A,681,19,12.27%,26.32%,78.95%,0,-0.5263157895,89.66%,201,81.78%,-6.11%,5.70%,1
65,dumbbell swing suitcase,List A,687,10,2.67%,70.00%,100.00%,1,-0.3,89.55%,107,90.63%,-4.20%,-0.33%,0
66,dumbbell thruster alternating,MVP,689,14,12.44%,57.14%,71.43%,0,-1.214285714,95.46%,168,97.00%,-1.21%,0.00%,0
67,dumbbell thruster classic,MVP,688,13,0.00%,100.00%,100.00%,1,0,95.23%,131,97.52%,-1.31%,-0.83%,1
68,dumbbell thruster to rotational press both arms,MVP,691,10,1.00%,90.00%,100.00%,1,0.1,95.06%,99,94.91%,-2.72%,-1.00%,0
69,french doors kneeling alternating with resting arm in,MVP,1319,12,7.29%,50.00%,91.67%,1,-0.5833333333,94.45%,123,53.20%,-2.71%,-3.26%,0
70,french doors kneeling both arms,MVP,1145,10,0.00%,100.00%,100.00%,1,0,95.09%,101,65.45%,-3.66%,-6.85%,0
71,french doors standing alternating with resting arm in,MVP,1320,20,9.24%,65.00%,75.00%,1,-0.8,97.47%,198,63.15%,-1.10%,-0.85%,0
72,french doors standing both arms,MVP,1148,19,0.84%,89.47%,100.00%,1,-0.1052631579,97.69%,204,78.14%,-1.43%,-2.55%,0
73,french doors standing single arm,MVP,1149,14,0.78%,85.71%,100.00%,1,-0.1428571429,98.18%,245,76.69%,-0.62%,-2.90%,0
74,front lunge arms by side,MVP,700,6,7.78%,50.00%,83.33%,1,-0.5,94.37%,64,32.12%,-2.45%,5.19%,0
75,front lunge arms out laterally,MVP,704,7,5.45%,71.43%,71.43%,1,0,97.45%,73,30.84%,-0.70%,4.03%,0
76,front lunge arms overhead,MVP,702,8,16.25%,50.00%,62.50%,0,0.375,95.65%,80,53.54%,-2.19%,10.00%,0
77,front lunge arms straight out,MVP,701,12,8.33%,41.67%,83.33%,1,-0.3333333333,88.06%,120,71.51%,-1.99%,5.90%,0
78,front lunge hands on hips,MVP,705,8,2.50%,75.00%,100.00%,1,-0.25,87.77%,79,66.46%,-8.01%,1.11%,0
79,front lunge runner arms,MVP,707,14,9.64%,50.00%,78.57%,1,-0.8571428571,95.29%,151,76.85%,-2.48%,6.71%,0
80,front lunge weights hanging,MVP,708,14,2.10%,78.57%,100.00%,1,-0.07142857143,93.99%,139,84.47%,-3.74%,1.39%,0
81,front lunge weights racked,MVP,710,12,4.17%,75.00%,83.33%,1,-0.4166666667,96.33%,119,88.29%,-2.55%,2.50%,0
82,front lunge with curl,List A,706,10,16.77%,70.00%,80.00%,0,-0.3,92.48%,105,78.23%,-2.72%,6.77%,0
83,front raise kneeling alternating with resting arm down,MVP,716,5,0.00%,100.00%,100.00%,1,0,95.21%,50,85.54%,-3.88%,0.00%,0
84,front raise kneeling both arms,MVP,718,10,3.43%,70.00%,90.00%,1,-0.2,94.86%,104,97.15%,-3.88%,2.43%,0
85,front raise kneeling single arm with resting arm down,MVP,719,12,3.61%,41.67%,91.67%,1,0.1666666667,95.89%,220,81.77%,-0.74%,-2.88%,0
86,front raise standing alternating with resting arm down,MVP,731,16,2.85%,68.75%,100.00%,1,-0.1875,95.34%,167,92.11%,-2.06%,1.88%,0
