,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,FA Delta With V7,MARE Delta With V7,n_sets delta w/ hydra_v7,FA Delta With New Pipeline,MARE Delta With New Pipeline
0,alternating lunge jumps with both arms swinging,List A,613,17,9.72%,47.06%,82.35%,1,-0.2352941176,98.53%,181,86.16%,0.27%,3.38%,0.00,0.53%,5.84%
1,alternating lunge jumps with runner arms,List A,612,15,14.07%,33.33%,73.33%,0,-0.8,97.69%,204,88.54%,0.31%,4.33%,0.00,-2.15%,1.57%
2,bent over row kneeling alternating with resting arm down,MVP,620,6,20.81%,33.33%,33.33%,0,-2.166666667,98.89%,95,75.56%,0.16%,13.06%,0.00,0.07%,3.93%
3,bent over row kneeling both arms,MVP,618,7,2.29%,71.43%,100.00%,1,0,99.92%,86,89.88%,0.00%,0.00%,0.00,0.25%,-7.89%
4,bent over row standing alternating with resting arm down,MVP,614,8,10.48%,50.00%,75.00%,0,-1.75,99.69%,108,67.60%,0.15%,3.02%,0.00,0.45%,1.66%
5,bent over row standing alternating with resting arm up,List A,615,4,21.04%,0.00%,25.00%,0,-3.25,100.00%,60,74.16%,0.11%,3.60%,0.00,0.00%,-19.17%
6,bent over row standing both arms,MVP,616,9,2.35%,77.78%,100.00%,1,-0.2222222222,99.92%,90,95.80%,0.05%,2.35%,0.00,0.67%,0.50%
7,bent over row standing single arm,MVP,619,6,23.26%,16.67%,33.33%,0,-3.333333333,97.60%,112,39.37%,0.25%,10.30%,0.00,-1.10%,8.64%
8,bicep curl balancing left alternating with resting arm down,MVP,629,8,1.25%,87.50%,100.00%,1,0.125,99.27%,82,95.46%,-0.19%,0.00%,0.00,0.34%,-2.53%
9,bicep curl balancing left single arm,MVP,637,6,4.90%,33.33%,83.33%,1,-0.3333333333,97.77%,148,93.96%,0.60%,-1.35%,0.00,-0.36%,0.73%
10,bicep curl balancing right both arms,MVP,632,9,1.11%,88.89%,100.00%,1,0.1111111111,99.09%,92,97.64%,0.18%,0.00%,0.00,0.31%,0.00%
11,bicep curl kneeling alternating with resting arm down,MVP,643,10,2.34%,80.00%,90.00%,1,0.3,96.68%,110,92.88%,2.63%,-1.19%,0.00,-1.16%,-6.57%
12,bicep curl kneeling with both arms,MVP,645,11,1.74%,81.82%,100.00%,1,0.1818181818,97.90%,100,97.56%,2.67%,0.83%,0.00,-0.64%,-0.68%
13,bicep curl kneeling with single arm,MVP,647,7,8.84%,71.43%,85.71%,1,-1.571428571,99.79%,136,88.48%,0.36%,5.67%,1.00,0.24%,0.31%
14,bicep curl kneeling with single arm with resting arm half up,List A,648,7,12.08%,42.86%,57.14%,0,-2.428571429,99.16%,144,91.38%,0.76%,1.36%,0.00,0.83%,-1.30%
15,bicep curl standing alternating with resting arm down,MVP,657,9,6.57%,77.78%,88.89%,1,-0.4444444444,98.45%,99,92.85%,0.37%,0.93%,0.00,0.79%,5.64%
16,bicep curl standing alternating with resting arm up,List A,652,9,15.93%,22.22%,66.67%,0,-0.2222222222,99.69%,90,85.84%,-0.10%,2.47%,0.00,-0.31%,-7.16%
17,bicep curl standing with both arms,MVP,653,19,8.96%,78.95%,89.47%,1,-0.3157894737,99.46%,188,92.37%,0.34%,2.63%,0.00,0.28%,1.71%
18,bicep curl standing with single arm,MVP,655,10,1.98%,60.00%,100.00%,1,0.2,99.61%,183,95.87%,0.08%,0.50%,0.00,-0.33%,-0.02%
19,bird dog opposite arm and leg knee to elbow,List A,1024,15,12.94%,20.00%,53.33%,0,0.1333333333,99.71%,269,87.49%,0.35%,-7.17%,1.00,0.90%,-6.82%
20,bird dog opposite arm and leg rep,List A,1025,7,1.59%,85.71%,100.00%,1,0.1428571429,99.73%,99,65.76%,0.90%,0.00%,0.00,1.21%,1.59%
21,bodyweight squat 1.5 squat,List A,572,12,42.93%,16.67%,33.33%,0,2.75,97.39%,125,95.30%,3.80%,8.21%,0.00,3.82%,-10.06%
22,bodyweight squat arms by side,MVP,575,6,1.39%,83.33%,100.00%,1,-0.1666666667,98.36%,82,69.01%,3.35%,-0.28%,0.00,2.79%,-2.95%
23,bodyweight squat arms overhead,MVP,573,7,2.86%,71.43%,100.00%,1,0,99.81%,68,65.00%,0.10%,2.86%,0.00,0.64%,0.24%
24,bodyweight squat arms straight out,MVP,574,4,2.27%,75.00%,100.00%,1,0.25,99.23%,38,51.58%,0.65%,-0.23%,0.00,-0.27%,2.27%
25,bodyweight squat arms swinging,MVP,576,5,0.00%,100.00%,100.00%,1,0,97.75%,57,95.39%,3.31%,-1.82%,0.00,4.20%,-6.97%
26,bodyweight squat hands at shoulders,MVP,329,19,1.92%,84.21%,94.74%,1,0,99.54%,201,96.46%,0.51%,0.00%,0.00,1.03%,0.24%
27,bodyweight squat hands centered,MVP,577,19,0.00%,100.00%,100.00%,1,0,98.73%,194,92.56%,3.60%,-0.53%,0.00,4.29%,-2.21%
28,bodyweight squat hands on head,MVP,578,13,2.31%,84.62%,92.31%,1,-0.2307692308,98.86%,128,91.37%,0.71%,0.00%,0.00,0.56%,0.00%
29,bodyweight sumo squat 1.5 squat,List A,1628,3,20.96%,0.00%,33.33%,0,2.333333333,99.68%,34,95.59%,0.51%,0.00%,0.00,-0.27%,-9.34%
30,bodyweight sumo squat arms overhead,MVP,1629,5,9.09%,80.00%,80.00%,1,-1,95.50%,51,81.16%,7.34%,-12.00%,0.00,12.47%,-14.00%
31,bodyweight sumo squat arms straight out,MVP,1630,5,0.00%,100.00%,100.00%,1,0,99.07%,55,92.05%,0.52%,-1.82%,0.00,-0.02%,-1.82%
32,bodyweight sumo squat arms swinging,MVP,1631,5,1.82%,80.00%,100.00%,1,-0.2,99.12%,56,91.97%,3.59%,-1.82%,0.00,4.30%,0.00%
